/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:4.5 CYCLES:4654 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:4.4 CYCLES:4576 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:4.3 CYCLES:4486 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 99.5
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:4.4 CYCLES:4556 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.4
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:4.5 CYCLES:4640 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 97.1
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:4.5 CYCLES:4652 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:4.5 CYCLES:4646 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:4.5 CYCLES:4688 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 96.3
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:4.4 CYCLES:4584 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:4.4 CYCLES:4570 ICOUNT:1035 IHITRATE: 99.8 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:4.6 CYCLES:466 ICOUNT:102 IHITRATE: 97.6 DHITRATE: 86.4
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:14.3 CYCLES:43 ICOUNT:3 IHITRATE: 83.3 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:5.8 CYCLES:58 ICOUNT:10 IHITRATE: 82.4 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:11.0 CYCLES:77 ICOUNT:7 IHITRATE: 82.6 DHITRATE: 75.0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.1 CYCLES:46 ICOUNT:9 IHITRATE: 72.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:8.7 CYCLES:61 ICOUNT:7 IHITRATE: 73.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:5.0 CYCLES:50 ICOUNT:10 IHITRATE: 76.9 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2020/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:8.7 CYCLES:61 ICOUNT:7 IHITRATE: 73.3 DHITRATE: 75.0
